Title,Rental_Price,Rooms,m2,Province,Municipality,Date
"Piso en JUAN SEBASTIÁN ELCANO, Monte Alto - Zalaeta - Atocha, A Coruña",750€/mes,3 hab.,87 m²,a-coruna-provincia,A Coruña,2022-03-03
"Casa o chalet independiente en travesía Cacheiras, 7, Teo",950€/mes,3 hab.,270 m²,a-coruna-provincia,Teo,2022-03-03
"Piso en Paseo de los Puentes-Santa Margarita, A Coruña",1.000€/mes,3 hab.,95 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en Juan Flórez, Falperra-Santa Lucía, A Coruña",800€/mes,3 hab.,117 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en avenida Galicia, Acea de Ama - O Burgo, Culleredo",550€/mes,2 hab.,80 m²,a-coruna-provincia,Culleredo,2022-03-03
"Piso en calle Al Peñamaria Llano, 7, Agra del Orzán - Ventorrillo, A Coruña",420€/mes,1 hab.,66 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en Orzan, 59, Monte Alto - Zalaeta - Atocha, A Coruña",800€/mes,2 hab.,85 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en calle Poeta Trillo Figueroa, Cuatro Caminos - Plaza de la Cubela, A Coruña",450€/mes,2 hab.,80 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en Canido, Canido, Ferrol",450€/mes,3 hab.,95 m²,a-coruna-provincia,Ferrol,2022-03-03
"Piso en cuesta Tapia, Cambre",430€/mes,3 hab.,90 m²,a-coruna-provincia,Cambre,2022-03-03
"Piso en calle Manuel Deschamps, 9, Riazor - Los Rosales, A Coruña",600€/mes,3 hab.,90 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en plaza Europa, Concheiros - Fontiñas, Santiago de Compostela",580€/mes,3 hab.,97 m²,a-coruna-provincia,Santiago de Compostela,2022-03-03
"Piso en avenida RICARDO SANCHEZ, Pontedeume",570€/mes,3 hab.,150 m²,a-coruna-provincia,Pontedeume,2022-03-03
"Piso en Liáns, Oleiros",980€/mes,3 hab.,114 m²,a-coruna-provincia,Oleiros,2022-03-03
"Piso en avenida del pasaje, Los Castros - Castrillón, A Coruña",530€/mes,2 hab.,65 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en calle Coronel Cerviño Núñez, 2, Monte Alto - Zalaeta - Atocha, A Coruña",650€/mes,2 hab.,64 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en calle Orillamar, Monte Alto - Zalaeta - Atocha, A Coruña",950€/mes,2 hab.,77 m²,a-coruna-provincia,A Coruña,2022-03-03
"Casa o chalet independiente en avenida República Argentina, Dorneda, Oleiros",950€/mes,4 hab.,134 m²,a-coruna-provincia,Oleiros,2022-03-03
"Dúplex en calle amil, Cambre",600€/mes,2 hab.,98 m²,a-coruna-provincia,Cambre,2022-03-03
"Piso en calle de Santa María, Ciudad Vieja - Centro, A Coruña",750€/mes,1 hab.,89 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en Monte Alto - Zalaeta - Atocha, A Coruña",850€/mes,3 hab.,90 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en avenida de Ferrol, Conxo, Santiago de Compostela",650€/mes,2 hab.,81 m²,a-coruna-provincia,Santiago de Compostela,2022-03-03
"Piso en calle Vila do Conde, 2, Caranza, Ferrol",530€/mes,3 hab.,100 m²,a-coruna-provincia,Ferrol,2022-03-03
Piso en Carballo,380€/mes,1 hab.,85 m²,a-coruna-provincia,Piso en Carballo,2022-03-03
"Piso en calle Tarrío, 13, Brion",380€/mes,2 hab.,65 m²,a-coruna-provincia,Brion,2022-03-03
"Piso en avenida bergantiños, 74, Laracha",320€/mes,2 hab.,100 m²,a-coruna-provincia,Laracha,2022-03-03
"Estudio en calle Magdalena, 137, Centro, Ferrol",375€/mes,65 m²,Planta 4ª exterior sin ascensor,a-coruna-provincia,Ferrol,2022-03-03
"Piso en avenida de Rosalía de Castro, 70, O Milladoiro, Ames",380€/mes,2 hab.,78 m²,a-coruna-provincia,Ames,2022-03-03
"Piso en Emilio Gonzalez Lopez, 54, Riazor - Los Rosales, A Coruña",560€/mes,2 hab.,75 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en plaza ENRIQUE IV, 6, Betanzos",380€/mes,2 hab.,59 m²,a-coruna-provincia,Betanzos,2022-03-03
"Piso en calle Rubine, 5, Juan Flórez-San Pablo, A Coruña",700€/mes,1 hab.,80 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en calle Monforte, 12, Os Mallos, A Coruña",580€/mes,3 hab.,80 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en Eirís, A Coruña",550€/mes,1 hab.,45 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en calle Crónicas, 1, Cedeira",300€/mes,2 hab.,80 m²,a-coruna-provincia,Cedeira,2022-03-03
"Dúplex en calle de Betanzos, 40, Campus norte - S.Caetano, Santiago de Compostela",800€/mes,2 hab.,75 m²,a-coruna-provincia,Santiago de Compostela,2022-03-03
"Piso en calle Río Miño, 21, Fajardo, Ferrol",420€/mes,3 hab.,70 m²,a-coruna-provincia,Ferrol,2022-03-03
"Piso en calle enrique mariñas romero periodista, 22, Someso - Matogrande, A Coruña",900€/mes,3 hab.,110 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en Alto del Castaño, Narón",400€/mes,2 hab.,85 m²,a-coruna-provincia,Narón,2022-03-03
"Piso en calle Torrente Ballester, 20, Arteixo",470€/mes,3 hab.,80 m²,a-coruna-provincia,Arteixo,2022-03-03
Casa de pueblo en Aranga,650€/mes,3 hab.,160 m²,a-coruna-provincia,Casa de pueblo en Aranga,2022-03-03
"Ático en calle Olmos, Ciudad Vieja - Centro, A Coruña",550€/mes,1 hab.,64 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en avenida Finisterre, Sagrada Familia, A Coruña",550€/mes,2 hab.,70 m²,a-coruna-provincia,A Coruña,2022-03-03
"Chalet adosado en Rio Chan, Centro de Culleredo, Culleredo",450€/mes,2 hab.,47 m²,a-coruna-provincia,Culleredo,2022-03-03
"Dúplex en O Milladoiro, Ames",400€/mes,2 hab.,75 m²,a-coruna-provincia,Ames,2022-03-03
Dúplex en Teo,500€/mes,3 hab.,90 m²,a-coruna-provincia,Dúplex en Teo,2022-03-03
"Piso en ulla, Castiñeiriño - Cruceiro do Sar, Santiago de Compostela",550€/mes,3 hab.,90 m²,a-coruna-provincia,Santiago de Compostela,2022-03-03
"Piso en O Milladoiro, Ames",380€/mes,2 hab.,75 m²,a-coruna-provincia,Ames,2022-03-03
"Piso en Conxo, Santiago de Compostela",450€/mes,2 hab.,70 m²,a-coruna-provincia,Santiago de Compostela,2022-03-03
"Piso en Perillo, Oleiros",450€/mes,1 hab.,48 m²,a-coruna-provincia,Oleiros,2022-03-03
"Piso en calle Lepanto, Caranza, Ferrol",450€/mes,2 hab.,74 m²,a-coruna-provincia,Ferrol,2022-03-03
"Piso en Piñeiros-Freixeiro, Narón",320€/mes,3 hab.,75 m²,a-coruna-provincia,Narón,2022-03-03
Piso en Carballo,360€/mes,2 hab.,70 m²,a-coruna-provincia,Piso en Carballo,2022-03-03
